t_out_sec,t_out_nanosec,t_imu_sec,t_imu_nanosec,t_cmd_sec,t_cmd_nanosec,imu_vx,imu_vy,imu_vz,cmd_vx,cmd_vy,cmd_vz
1761030649,895520923,1761030649,895349126,1761030649,895520923,0.0,0.0,0.0,0.0,0.0,4.277254688000085
1761030650,9223372,1761030650,9088853,1761030650,9223372,0.0,0.0,0.0,0.0,0.0,4.444231609000099
1761030650,144047839,1761030650,144079876,1761030650,144047839,0.0,0.0,0.0,0.0,0.0,4.5579712060000475
1761030650,242568682,1761030650,242586552,1761030650,242568682,0.0,0.0,0.0,0.0,0.0,4.692765339000061
1761030650,292547280,1761030650,292606762,1761030650,292547280,0.0,0.0,0.0,0.0,0.0,4.791269238000041
1761030650,428573396,1761030650,428596119,1761030650,428573396,0.0,0.0,0.0,0.0,0.0,4.841249317999996
1761030650,645825582,1761030650,645593082,1761030650,645825582,0.0,0.0,0.0,0.0,0.0,5.09405533000006
1761030650,794943802,1761030650,794996431,1761030650,794943802,0.0,0.0,0.0,0.0,0.0,5.194516268000029
1761030650,897033148,1761030650,896955537,1761030650,897033148,0.0,0.0,0.0,0.0,0.0,5.343642339000098
1761030650,944938319,1761030650,945032578,1761030650,944938319,0.0,0.0,0.0,0.0,0.0,5.4457484080000995
1761030651,174304181,1761030651,144453952,1761030651,174304181,0.0,0.0,0.0,0.0,0.0,5.606563342000072
1761030651,324293883,1761030651,295021506,1761030651,324293883,0.0,0.0,0.0,0.0,0.0,5.722948756000051
1761030651,594971892,1761030651,594935466,1761030651,594971892,0.0,0.0,0.0,0.0,0.0,6.010487742000009
1761030651,934320811,1761030651,934148330,1761030651,934320811,0.0,0.0,0.0,0.0,0.0,6.143631448000065
1761030652,29733819,1761030652,11796655,1761030652,29733819,0.0,0.0,0.0,0.0,0.0,6.483040386000084
1761030652,111366444,1761030652,111451166,1761030652,111366444,0.0,0.0,0.0,0.0,0.0,6.578310523000027
1761030652,191636290,1761030652,177961797,1761030652,191636290,0.0,0.0,0.0,0.0,0.0,6.660055408000062
1761030652,791944932,1761030652,777348790,1761030652,791944932,0.0,0.0,0.0,0.0,0.0,7.277157082000031
1761030653,267319690,1761030653,267486523,1761030653,267319690,0.0,0.0,0.0,0.0,0.0,7.727578300000005
1761030653,395032317,1761030653,394841262,1761030653,395032317,0.0,0.0,0.0,0.0,0.0,7.816013394000038
1761030653,560788829,1761030653,560865348,1761030653,560788829,0.0,0.0,0.0,0.0,0.0,7.943736670000021
1761030653,628565109,1761030653,628548776,1761030653,628565109,0.0,0.0,0.0,0.0,0.0,8.109505997000042
1761030653,898396488,1761030653,898476914,1761030653,898396488,0.0,0.0,0.0,0.0,0.0,8.177326054000105
1761030654,395290449,1761030654,395156671,1761030654,395290449,0.0,0.0,0.0,0.0,0.0,8.827789202000076
1761030654,531715806,1761030654,531563547,1761030654,531715806,0.0,0.0,0.0,0.0,0.0,8.944026764
1761030654,694560019,1761030654,694371223,1761030654,694560019,0.0,0.0,0.0,0.0,0.0,9.080255751000095
1761030654,959253319,1761030654,945543641,1761030654,959253319,0.0,0.0,0.0,0.0,0.0,9.46070648300008
1761030655,374786248,1761030655,362184793,1761030655,374786248,0.0,0.0,0.0,0.0,0.0,9.740527369999995
1761030655,525192654,1761030655,495252499,1761030655,525192654,0.0,0.0,0.0,0.0,0.0,9.923366675000011
1761030655,829255766,1761030655,826458597,1761030655,829255766,0.0,0.0,0.0,0.0,0.0,10.326954982000075
1761030656,225655197,1761030656,225391881,1761030656,225655197,0.0,0.0,0.0,0.0,0.0,10.709389197000064
1761030656,324411596,1761030656,324177503,1761030656,324411596,0.0,0.0,0.0,0.0,0.0,10.774333178999996
1761030656,428211610,1761030656,428233832,1761030656,428211610,0.0,0.0,0.0,0.0,0.0,10.873131282000031
1761030656,517398371,1761030656,517369797,1761030656,517398371,0.0,0.0,0.0,0.0,0.0,10.976948944000014
1761030656,699293082,1761030656,698978064,1761030656,699293082,0.0,0.0,0.0,0.0,0.0,11.066113780000023
1761030656,794832293,1761030656,792364828,1761030656,794832293,0.0,0.0,0.0,0.0,0.0,11.248043009000071
1761030656,895271750,1761030656,895271583,1761030656,895271750,0.0,0.0,0.0,0.0,0.0,11.343459479000103
1761030657,45189933,1761030657,45163637,1761030657,45189933,0.0,0.0,0.0,0.0,0.0,11.44402556500006
1761030657,195431969,1761030657,195328265,1761030657,195431969,0.0,0.0,0.0,0.0,0.0,11.593928008000034
1761030657,326128766,1761030657,325875432,1761030657,326128766,0.0,0.0,0.0,0.0,0.0,11.744294673000013
1761030657,450889928,1761030657,450654798,1761030657,450889928,0.0,0.0,0.0,0.0,0.0,11.874859600000036
1761030657,609366044,1761030657,609099174,1761030657,609366044,0.0,0.0,0.0,0.0,0.0,11.999548132000086
1761030657,761917860,1761030657,761882064,1761030657,761917860,0.0,0.0,0.0,0.0,0.0,12.158079025999996
1761030657,928348594,1761030657,928316465,1761030657,928348594,0.0,0.0,0.0,0.0,0.0,12.310607823000055
1761030658,142317129,1761030658,142185333,1761030658,142317129,0.0,0.0,0.0,0.0,0.0,12.593966732000013
1761030658,374688938,1761030658,374069938,1761030658,374688938,0.0,0.0,0.0,0.0,0.0,12.690988907000019
1761030658,475785895,1761030658,475635339,1761030658,475785895,0.0,0.0,0.0,0.0,0.0,12.923372771999993
1761030658,544999176,1761030658,545163658,1761030658,544999176,0.0,0.0,0.0,0.0,0.0,13.024495433000084
1761030658,645254651,1761030658,645226003,1761030658,645254651,0.0,0.0,0.0,0.0,0.0,13.093686862000027
1761030658,778717320,1761030658,775824707,1761030658,778717320,0.0,0.0,0.0,0.0,0.0,13.193974577000063
1761030658,861610854,1761030658,861616521,1761030658,861610854,0.0,0.0,0.0,0.0,0.0,13.327350247000027
1761030658,945261759,1761030658,945261870,1761030658,945261759,0.0,0.0,0.0,0.0,0.0,13.41033074400002
1761030659,46478938,1761030659,46450160,1761030659,46478938,0.0,0.0,0.0,0.0,0.0,13.493975796000086
1761030659,195334435,1761030659,195302028,1761030659,195334435,0.0,0.0,0.0,0.0,0.0,13.595213846000092
1761030659,261968733,1761030659,261953677,1761030659,261968733,0.0,0.0,0.0,0.0,0.0,13.74406043600004
1761030659,392590863,1761030659,391423214,1761030659,392590863,0.0,0.0,0.0,0.0,0.0,13.810642789000099
1761030659,494582765,1761030659,494611024,1761030659,494582765,0.0,0.0,0.0,0.0,0.0,13.941297845000008
1761030659,592551163,1761030659,592358978,1761030659,592551163,0.0,0.0,0.0,0.0,0.0,14.043285099000059
1761030659,675654215,1761030659,675450734,1761030659,675654215,0.0,0.0,0.0,0.0,0.0,14.141214441000102
1761030659,733427246,1761030659,733428654,1761030659,733427246,0.0,0.0,0.0,0.0,0.0,14.224316957000042
1761030659,994134673,1761030659,993968691,1761030659,994134673,0.0,0.0,0.0,0.0,0.0,14.282118543000024
1761030660,111200254,1761030660,111027513,1761030660,111200254,0.0,0.0,0.0,0.0,0.0,14.542844747000004
1761030660,278586249,1761030660,278554156,1761030660,278586249,0.0,0.0,0.0,0.0,0.0,14.659923903000049
1761030660,430606841,1761030660,430449063,1761030660,430606841,0.0,0.0,0.0,0.0,0.0,14.827294359999996
1761030660,595168334,1761030660,594992463,1761030660,595168334,0.0,0.0,0.0,0.0,0.0,14.979299861000072
1761030661,208750209,1761030661,178999221,1761030661,208750209,0.0,0.0,0.0,0.0,0.0,15.676767382000094
1761030661,410693585,1761030661,410819678,1761030661,410693585,0.0,0.0,0.0,0.0,0.0,15.907701005000035
1761030661,527996445,1761030661,527898648,1761030661,527996445,0.0,0.0,0.0,0.0,0.0,15.959379493000029
1761030661,795206654,1761030661,796834415,1761030661,795206654,0.0,0.0,0.0,0.0,0.0,16.07669274200009
1761030661,913951052,1761030661,914995701,1761030661,913951052,0.0,0.0,0.0,0.0,0.0,16.343885544000045
