t_out_sec,t_out_nanosec,t_imu_sec,t_imu_nanosec,t_cmd_sec,t_cmd_nanosec,imu_vx,imu_vy,imu_vz,cmd_vx,cmd_vy,cmd_vz
1761043365,436133831,1761043365,413870902,1761043365,436133831,0.0,0.0,0.0,0.0,0.0,0.020968038001228706
1761043365,468014925,1761043365,456537219,1761043365,468014925,0.0,0.0,0.0,0.0,0.0,0.058793050000531366
1761043365,504775491,1761043365,495222326,1761043365,504775491,0.0,0.0,0.0,0.0,0.0,0.08843351100040309
1761043365,546637066,1761043365,530964038,1761043365,546637066,0.0,0.0,0.0,0.0,0.0,0.12520365100135677
1761043365,586292489,1761043365,571040832,1761043365,586292489,0.0,0.0,0.0,0.0,0.0,0.16728078200139862
1761043365,620474013,1761043365,608049750,1761043365,620474013,0.0,0.0,0.0,0.0,0.0,0.20887870800106612
1761043365,660937290,1761043365,648332748,1761043365,660937290,0.0,0.0,0.0,0.0,0.0,0.24122722900028748
1761043365,700214638,1761043365,685165277,1761043365,700214638,0.0,0.0,0.0,0.0,0.0,0.2814784860001964
1761043365,737096778,1761043365,737017426,1761043365,737096778,0.0,0.0,0.0,0.0,0.0,0.3212757800010877
1761043365,783824991,1761043365,769669429,1761043365,783824991,0.0,0.0,0.0,0.0,0.0,0.35781567900085065
1761043365,821299355,1761043365,811225763,1761043365,821299355,0.0,0.0,0.0,0.0,0.0,0.40558024600068165
1761043365,859485738,1761043365,850386536,1761043365,859485738,0.0,0.0,0.0,0.0,0.0,0.44185920000018086
1761043365,900769405,1761043365,885461581,1761043365,900769405,0.0,0.0,0.0,0.0,0.0,0.4799702680011251
1761043365,938975325,1761043365,928739640,1761043365,938975325,0.0,0.0,0.0,0.0,0.0,0.5212641939997411
1761043365,977343505,1761043365,961733458,1761043365,977343505,0.0,0.0,0.0,0.0,0.0,0.5605196530013927
1761043366,12365530,1761043365,999783952,1761043366,12365530,0.0,0.0,0.0,0.0,0.0,0.5978309609999997
1761043366,52046916,1761043366,38102836,1761043366,52046916,0.0,0.0,0.0,0.0,0.0,0.6346124709998548
1761043366,94056473,1761043366,78428612,1761043366,94056473,0.0,0.0,0.0,0.0,0.0,0.6726621690013417
1761043366,137316328,1761043366,117998627,1761043366,137316328,0.0,0.0,0.0,0.0,0.0,0.7171025260013266
1761043366,168360384,1761043366,160883000,1761043366,168360384,0.0,0.0,0.0,0.0,0.0,0.760958364000544
1761043366,207870251,1761043366,201807148,1761043366,207870251,0.0,0.0,0.0,0.0,0.0,0.789004506999845
1761043366,254406983,1761043366,236562284,1761043366,254406983,0.0,0.0,0.0,0.0,0.0,0.8311796010002581
1761043366,289067786,1761043366,279619195,1761043366,289067786,0.0,0.0,0.0,0.0,0.0,0.8771135910010344
1761043366,330118544,1761043366,315101166,1761043366,330118544,0.0,0.0,0.0,0.0,0.0,0.9096607420015062
1761043366,370023042,1761043366,352881918,1761043366,370023042,0.0,0.0,0.0,0.0,0.0,0.9513803720001306
1761043366,403569954,1761043366,393522899,1761043366,403569954,0.0,0.0,0.0,0.0,0.0,0.9913703330003045
1761043366,446353475,1761043366,430345502,1761043366,446353475,0.0,0.0,0.0,0.0,0.0,1.0240095950011892
1761043366,483501467,1761043366,469784609,1761043366,483501467,0.0,0.0,0.0,0.0,0.0,1.0668259860012768
